Matricula,Fecha,Hora
oeBLU,2026-01-14,21:33:43
ooBLU,2026-01-14,21:33:43
ccBLU,2026-01-14,21:33:44
ico4BLO,2026-01-14,21:33:44
i2g4BLO,2026-01-14,21:33:44
i264BED,2026-01-14,21:33:45
igusbOU,2026-01-14,21:33:45
vantBoo,2026-01-14,21:33:45
zaBCD,2026-01-14,21:33:47
shhbad,2026-01-14,21:33:48
orBrn,2026-01-14,21:33:49
734BLO,2026-01-14,21:33:51
osBLU,2026-01-14,21:33:51
i234BLD,2026-01-14,21:33:51
vuBCD,2026-01-14,21:33:52
eyBLU,2026-01-14,21:33:55
o4BCD,2026-01-14,21:33:56
LauBcO,2026-01-14,21:33:57
s4BCD,2026-01-14,21:33:57
suBCD,2026-01-14,21:33:57
34BLD,2026-01-14,21:33:57
34BCD,2026-01-14,21:33:57
34BCD,2026-01-14,21:33:58
34BCU,2026-01-14,21:33:58
34BCU,2026-01-14,21:33:58
34BLO,2026-01-14,21:33:58
34BCD,2026-01-14,21:33:58
34BCD,2026-01-14,21:33:59
34BLO,2026-01-14,21:33:59
34BCD,2026-01-14,21:33:59
34BLD,2026-01-14,21:33:59
34BCD,2026-01-14,21:34:00
34BCD,2026-01-14,21:34:02
734BLD,2026-01-14,21:34:02
734BCO,2026-01-14,21:34:02
734BLD,2026-01-14,21:34:03
1734BCD,2026-01-14,21:34:03
2734BCD,2026-01-14,21:34:03
734BCD,2026-01-14,21:34:03
734BCD,2026-01-14,21:34:04
734BLD,2026-01-14,21:34:04
734BCD,2026-01-14,21:34:04
734BCD,2026-01-14,21:34:04
1734BCD,2026-01-14,21:34:04
1734BLD,2026-01-14,21:34:05
234BCD,2026-01-14,21:34:05
1234BCD,2026-01-14,21:34:05
734BCD,2026-01-14,21:34:06
234BCD,2026-01-14,21:34:06
234BCD,2026-01-14,21:34:06
1734BCD,2026-01-14,21:34:06
1734BCD,2026-01-14,21:34:06
734BCD,2026-01-14,21:34:06
1734BCD,2026-01-14,21:34:07
234BCD,2026-01-14,21:34:07
1234BCD,2026-01-14,21:34:07
1734BCD,2026-01-14,21:34:07
1734BCD,2026-01-14,21:34:07
234BCD,2026-01-14,21:34:08
1234BCD,2026-01-14,21:34:08
1234BCD,2026-01-14,21:34:08
234BCD,2026-01-14,21:34:08
234BCD,2026-01-14,21:34:08
734BCD,2026-01-14,21:34:08
234BCD,2026-01-14,21:34:09
234BCD,2026-01-14,21:34:09
234BCD,2026-01-14,21:34:09
1234BCD,2026-01-14,21:34:09
1234BCD,2026-01-14,21:34:10
1234BLD,2026-01-14,21:34:10
1234BCD,2026-01-14,21:34:10
1234BCD,2026-01-14,21:34:10
1234BCD,2026-01-14,21:34:10
1234BCD,2026-01-14,21:34:11
1234BCD,2026-01-14,21:34:11
1234BCD,2026-01-14,21:34:11
1234BED,2026-01-14,21:34:11
1234BCD,2026-01-14,21:34:12
1234BCD,2026-01-14,21:34:12
1234BCD,2026-01-14,21:34:12
1234BCD,2026-01-14,21:34:12
1234BCD,2026-01-14,21:34:12
1234BCD,2026-01-14,21:34:13
4ytKEM,2026-01-14,21:34:13
LAAAe,2026-01-20,17:02:40
2341AAA,2026-01-20,17:02:40
34AAD,2026-01-20,17:02:40
34AAA,2026-01-20,17:02:40
34AKA,2026-01-20,17:02:40
34AKA,2026-01-20,17:02:40
34AAA,2026-01-20,17:02:40
34AAA,2026-01-20,17:02:41
31AAA,2026-01-20,17:02:41
34AAA,2026-01-20,17:02:41
37AAA,2026-01-20,17:02:41
37AAA,2026-01-20,17:02:41
34AAA,2026-01-20,17:02:41
34AAA,2026-01-20,17:02:42
34AAA,2026-01-20,17:02:42
34AAA,2026-01-20,17:02:42
34AAA,2026-01-20,17:02:42
37AAA,2026-01-20,17:02:42
34AAA,2026-01-20,17:02:42
34AAA,2026-01-20,17:02:43
234AM,2026-01-20,17:02:43
234AAA,2026-01-20,17:02:43
234AAA,2026-01-20,17:02:43
234AAA,2026-01-20,17:02:43
234AAA,2026-01-20,17:02:43
235AAA,2026-01-20,17:02:43
osAAA7,2026-01-20,17:02:44
onAAA4,2026-01-20,17:02:44
wbeAAA,2026-01-20,17:02:44
hetji,2026-01-20,17:02:50
234AAAF,2026-01-20,17:02:51
PEREj,2026-01-20,17:02:51
Aarlene,2026-01-30,18:09:03
4200385,2026-01-30,18:11:12
2003SBS,2026-01-30,18:11:12
2003SBS,2026-01-30,18:11:13
2003SBS,2026-01-30,18:11:13
2003SBS,2026-01-30,18:11:15
2003SBS,2026-01-30,18:11:15
2003SBS,2026-01-30,18:11:16
2003SBS,2026-01-30,18:11:16
2003SBS,2026-01-30,18:11:17
000012,2026-01-30,18:11:34
000012,2026-01-30,18:11:34
0000123,2026-01-30,18:11:35
40000123,2026-01-30,18:11:36
G0000129,2026-01-30,18:11:36
G0000123,2026-01-30,18:12:48
0000123IE,2026-01-30,18:12:54
G0000123,2026-01-30,18:12:56
90000123,2026-01-30,18:12:57
0014HEG,2026-01-30,18:13:23
I2014HEC,2026-01-30,18:13:24
WBO014HES,2026-01-30,18:13:25
FIZO14HEG,2026-01-30,18:13:29
FIZ014HEG,2026-01-30,18:13:30
P0014HEC,2026-01-30,18:13:50
82014HEG,2026-01-30,18:13:51
B2014HEG,2026-01-30,18:13:52
FI2014HEG,2026-01-30,18:13:56
AI2014,2026-01-30,18:14:21
JAZO14A,2026-01-30,18:14:23
BHO4HE,2026-01-30,18:14:50
AH014HE,2026-01-30,18:14:51
014HEG,2026-01-30,18:14:51
2014HEG,2026-01-30,18:14:52
2014HEG,2026-01-30,18:14:53
2014HEG,2026-01-30,18:14:53
2014HEG,2026-01-30,18:14:54
2014HEG,2026-01-30,18:14:54
P014HEG,2026-01-30,18:14:55
P014HEG,2026-01-30,18:14:56
D014HEG,2026-01-30,18:14:57
2014HEG,2026-01-30,18:14:57
2014HE,2026-01-30,18:14:59
P014HEG,2026-01-30,18:15:00
P014HEG,2026-01-30,18:15:01
9014HEG,2026-01-30,18:16:13
2014HEG,2026-01-30,18:16:15
2014HEG,2026-01-30,18:16:16
2014HEG,2026-01-30,18:16:17
2014HEG,2026-01-30,18:16:18
2014HEG,2026-01-30,18:16:19
13677M,2026-01-30,18:16:39
19877MVG,2026-01-30,18:16:43
3877MVG,2026-01-30,18:16:44
3077MVG,2026-01-30,18:16:46
13877MVO,2026-01-30,18:16:47
13877MVG,2026-01-30,18:16:50
13877MVG,2026-01-30,18:16:51
71734BCD,2026-01-30,18:17:30
1234BCD,2026-01-30,18:17:33
4234BED,2026-01-30,18:17:34
1234BCD,2026-01-30,18:17:35
1234BCD,2026-01-30,18:17:36
1234BCD,2026-01-30,18:17:37
1234BCD,2026-01-30,18:17:39
"P,:=a:",30/01/2026,18:43:10
2003585,2026-01-30,18:47:44
2003SBS,2026-01-30,18:47:45
2003SBS,2026-01-30,18:47:46
